Date,Open,High,Low,Close,Adj Close,Volume
2005-09-01,12.270000,12.270000,11.870000,11.870000,6.653917,0
2005-10-01,11.800000,11.850000,11.540000,11.590000,6.523802,0
2005-11-01,11.570000,11.730000,11.460000,11.630000,6.574727,0
2005-12-01,11.600000,11.880000,11.550000,11.840000,6.721740,0
2006-01-01,11.840000,11.890000,11.660000,11.680000,6.659544,0
2006-02-01,11.650000,11.760000,11.620000,11.760000,6.734615,0
2006-03-01,11.700000,11.700000,11.290000,11.290000,6.490979,0
2006-04-01,11.270000,11.290000,11.000000,11.030000,6.370275,0
2006-05-01,10.970000,11.050000,10.890000,10.960000,6.358725,0
2006-06-01,10.960000,11.160000,10.820000,10.950000,6.382564,0
2006-07-01,10.940000,11.120000,10.860000,11.120000,6.511611,0
2006-08-01,11.130000,11.400000,11.100000,11.400000,6.706325,0
2006-09-01,11.410000,11.620000,11.320000,11.540000,6.819303,0
2006-10-01,11.550000,11.620000,11.320000,11.620000,6.896461,0
2006-11-01,11.670000,11.820000,11.510000,11.820000,7.046325,0
2006-12-01,11.850000,11.850000,11.530000,11.530000,6.902818,0
2007-01-01,11.590000,11.640000,11.330000,11.410000,6.861925,0
2007-02-01,11.400000,11.770000,11.400000,11.720000,7.080825,0
2007-03-01,11.710000,11.740000,11.470000,11.470000,6.957568,0
2007-04-01,11.490000,11.560000,11.390000,11.540000,7.032440,0
2007-05-01,11.550000,11.570000,11.290000,11.290000,6.910843,0
2007-06-01,11.230000,11.280000,10.870000,11.120000,6.838247,0
2007-07-01,11.150000,11.210000,10.940000,11.200000,6.918867,0
2007-08-01,11.210000,11.350000,11.100000,11.340000,7.038178,0
2007-09-01,11.320000,11.560000,11.200000,11.350000,7.076805,0
2007-10-01,11.400000,11.640000,11.320000,11.500000,7.202695,0
2007-11-01,11.620000,11.910000,11.540000,11.730000,7.379832,0
2007-12-01,11.800000,11.800000,11.370000,11.650000,7.360723,0
2008-01-01,11.800000,11.900000,11.650000,11.740000,7.451045,0
2008-02-01,11.790000,11.790000,11.350000,11.670000,7.439734,0
2008-03-01,11.650000,11.820000,11.410000,11.640000,7.452279,0
2008-04-01,11.500000,11.700000,11.390000,11.580000,7.447251,0
2008-05-01,11.590000,11.590000,11.210000,11.280000,7.286688,0
2008-06-01,11.320000,11.390000,11.090000,11.310000,7.340117,0
2008-07-01,11.280000,11.390000,11.010000,11.170000,7.282096,0
2008-08-01,11.170000,11.330000,11.030000,11.260000,7.376054,0
2008-09-01,11.340000,11.540000,10.750000,10.750000,7.075122,0
2008-10-01,10.830000,10.990000,9.920000,9.920000,6.559240,0
2008-11-01,9.970000,10.810000,9.970000,10.810000,7.185159,0
2008-12-01,11.020000,12.140000,11.020000,11.990000,8.006751,0
2009-01-01,11.790000,11.910000,11.170000,11.180000,7.497967,0
2009-02-01,11.340000,11.440000,10.940000,10.940000,7.371321,0
2009-03-01,11.060000,11.100000,10.730000,11.090000,7.504454,0
2009-04-01,11.160000,11.160000,10.870000,10.900000,7.411468,0
2009-05-01,10.860000,11.090000,10.610000,10.990000,7.507188,0
2009-06-01,10.780000,11.270000,10.700000,11.250000,7.722148,0
2009-07-01,11.240000,11.610000,11.080000,11.610000,8.004771,0
2009-08-01,11.490000,11.800000,11.290000,11.800000,8.172988,0
2009-09-01,11.790000,12.100000,11.670000,12.060000,8.389391,0
2009-10-01,12.160000,12.160000,11.720000,11.900000,8.312465,0
2009-11-01,11.860000,12.030000,11.690000,12.030000,8.439809,0
2009-12-01,11.910000,11.940000,11.480000,11.560000,8.143953,0
2010-01-01,11.560000,11.810000,11.530000,11.770000,8.328549,0
2010-02-01,11.670000,11.730000,11.430000,11.690000,8.308183,0
2010-03-01,11.700000,11.770000,11.510000,11.590000,8.269768,0
2010-04-01,11.570000,11.890000,11.430000,11.890000,8.522225,0
2010-05-01,11.880000,12.230000,11.830000,12.010000,8.620670,0
2010-06-01,12.050000,12.460000,11.920000,12.460000,8.982007,0
2010-07-01,12.470000,12.580000,12.200000,12.530000,9.068304,0
2010-08-01,12.430000,13.220000,12.420000,13.200000,9.591907,0
2010-09-01,13.000000,13.050000,12.650000,13.000000,9.482745,0
